19/06 00:31:00 FINE sim.Admin|Log for simulation 1 started
************************************************************
* Log for simulation 1 started
************************************************************


19/06 00:31:00 INFO sim.TACAdxSimulation|TACAA Simulation 1 is setting up...
19/06 00:31:00 INFO sim.TACAdxSimulation|Created Adx Agent
19/06 00:31:00 INFO sim.TACAdxSimulation|Created Demand Agent
19/06 00:31:00 FINE generators.PopulationUserGenerator|Generated 10000 tau.tac.adx.users.AdxUsers
19/06 00:31:00 FINE sim.ExternalAgent|sample setup with address adv1
19/06 00:31:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork simulationSetup
19/06 00:31:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-2 simulationSetup
19/06 00:31:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-3 simulationSetup
19/06 00:31:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-4 simulationSetup
19/06 00:31:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-5 simulationSetup
19/06 00:31:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-6 simulationSetup
19/06 00:31:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-7 simulationSetup
19/06 00:31:00 INFO publisher.AdxPublisherReportManagerImpl|AdxQueryReportManager created.
19/06 00:31:00 INFO adn.AdNetworkReportManagerImpl|AdxQueryReportManager created.
19/06 00:31:00 INFO agents.DemandAgent|setting up...
19/06 00:31:00 FINE agents.DemandAgent|Finished setup
19/06 00:31:01 INFO sim.Simulation|***** START OF TIME 0 *****
19/06 00:31:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1273570415, reachImps=3312, dayStart=1, dayEnd=5, targetSegment=[MALE, HIGH_INCOME], videoCoef=2.0790664473730223, mobileCoef=2.1312382457864696, budgetMillis=3312, advertiser=adv1]
19/06 00:31:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@2d7403a7 event: tau.tac.adx.messages.UserClassificationServiceNotification@1b9be041
19/06 00:31:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=379574672, reachImps=10952, dayStart=1, dayEnd=5, targetSegment=[FEMALE, LOW_INCOME], videoCoef=2.739394952341244, mobileCoef=1.8807381988374678, budgetMillis=10952, advertiser=DummyAdnetwork]
19/06 00:31:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@2d7403a7 event: tau.tac.adx.messages.UserClassificationServiceNotification@5884888a
19/06 00:31:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1696614764, reachImps=3037, dayStart=1, dayEnd=5, targetSegment=[OLD, HIGH_INCOME], videoCoef=2.1963156280324045, mobileCoef=1.6942747397470692, budgetMillis=3037, advertiser=DummyAdnetwork-2]
19/06 00:31:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@2d7403a7 event: tau.tac.adx.messages.UserClassificationServiceNotification@2ab48552
19/06 00:31:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=832364645, reachImps=9540, dayStart=1, dayEnd=5, targetSegment=[YOUNG, LOW_INCOME], videoCoef=2.2365353162569312, mobileCoef=2.327443828629005, budgetMillis=9540, advertiser=DummyAdnetwork-3]
19/06 00:31:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@2d7403a7 event: tau.tac.adx.messages.UserClassificationServiceNotification@32502055
19/06 00:31:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=712689217, reachImps=1657, dayStart=1, dayEnd=5, targetSegment=[FEMALE, HIGH_INCOME], videoCoef=2.0632029198855397, mobileCoef=2.0305117501054957, budgetMillis=1657, advertiser=DummyAdnetwork-4]
19/06 00:31:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@2d7403a7 event: tau.tac.adx.messages.UserClassificationServiceNotification@626deb30
19/06 00:31:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=510381772, reachImps=10490, dayStart=1, dayEnd=5, targetSegment=[OLD, LOW_INCOME], videoCoef=2.41017180821908, mobileCoef=1.66521046808003, budgetMillis=10490, advertiser=DummyAdnetwork-5]
19/06 00:31:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@2d7403a7 event: tau.tac.adx.messages.UserClassificationServiceNotification@37d5c2ae
19/06 00:31:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=853559845, reachImps=1932, dayStart=1, dayEnd=5, targetSegment=[YOUNG, HIGH_INCOME], videoCoef=2.5808668542801794, mobileCoef=2.11156759413852, budgetMillis=1932, advertiser=DummyAdnetwork-6]
19/06 00:31:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@2d7403a7 event: tau.tac.adx.messages.UserClassificationServiceNotification@2323dd3b
19/06 00:31:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=126967427, reachImps=10952, dayStart=1, dayEnd=5, targetSegment=[FEMALE, LOW_INCOME], videoCoef=2.3981292619060244, mobileCoef=2.149311872041179, budgetMillis=10952, advertiser=DummyAdnetwork-7]
19/06 00:31:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@2d7403a7 event: tau.tac.adx.messages.UserClassificationServiceNotification@58d3ee56
19/06 00:31:01 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@2d7403a7 event: tau.tac.adx.messages.UserClassificationServiceNotification@41c47da9
19/06 00:31:01 INFO agents.DemandAgent|Day 0 :Notifying new campaign opportunity: CampaignImpl [id=1259734010, reachImps=1215, dayStart=2, dayEnd=6, targetSegment=[OLD, HIGH_INCOME], videoCoef=2.9253553246919672, mobileCoef=1.6989367080549678, budgetMillis=0, advertiser=null]
19/06 00:31:01 INFO sim.Simulation|***** START OF TIME 0 COMPLETE *****
